,country,iso_a2,iso_a3,latitude,longitude
,Afghanistan,AF,AFG,"33.93911, 67.709953",
,Albania,AL,ALB,41.153332 20.168331,
,Bangladesh,BD,BGD,"23.684994, 90.356331",
,Belarus,BY,BLR,"53.709807, 27.953389",
,Bolivia,BO,BOL,"-16.290154, -63.588653",
,Bulgaria,BG,BGR,"42.733883, 25.48583",
,Burkina Faso,BF,BFA,"12.238333, -1.561593",
,Cambodia,KH,KHM,"12.565679, 104.990963",
,China,CN,CHN,"35.86166, 104.195397",
,Colombia,CO,COL,"4.570868, -74.297333",
,"Congo, (Kinshasa)",CD,COD,"-4.038333, 21.758664",
,Côte d'Ivoire,CI,CIV,"7.539989, -5.54708",
,Eritrea,ER,ERI,"15.179384, 39.782334",
,Ghana,GH,GHA,"7.946527, -1.023194",
,Guinea,GN,GIN,"9.945587, -9.696645",
,Guinea-Bissau,GW,GNB,"11.803749, -15.180413",
,Haiti,HT,HTI,"18.971187, -72.285215",
,India,IN,IND,"20.593684, 78.96288",
,Indonesia,ID,IDN,"-0.789275, 113.921327",
,Kazakhstan,KZ,KAZ,"48.019573, 66.923684",
,Kenya,KE,KEN,"-0.023559, 37.906193",
,Korea (South),KR,KOR,"35.907757, 127.766922	",
,Kyrgyzstan,KG,KGZ,"41.20438, 74.766098",
,Laos,LA,LAO,"19.85627, 102.495496",
,Madagascar,MG,MDG,"-18.766947,  46.869107",
,Malaysia,MY,MYS,"4.210484, 101.975766",
154,Mali,ML,MLI,"17.570692, -3.996166",
151,Mexico,MX,MEX,"23.634501, -102.552784",
,Moldova,MD,MDA,"47.411631, 28.369885",
,Myanmar,MM,MMR,"21.913965, 95.956223",
,Nepal,NP,NPL,"28.394857, 84.124008",
,Niger,NE,NER,"17.607789, 8.081666",
,Nigeria,NG,NGA,"9.081999, 8.675277	",
,Philippines,PH,PHL,"12.879721, 121.774017",
,Romania,RO,ROU,"45.943161, 24.96676",
,Saudi Arabia,SA,SAU,"23.885942, 45.079162",
,Senegal,SN,SEN,"14.497401, -14.452362",
,Sri Lanka,LK,LKA,"7.873054, 80.771797",
,Tajikistan,TJ,TJK,"38.861034, 71.276093",
,Thailand,TH,THA,"15.870032, 100.992541",
,Turkmenistan,TM,TKM,"38.969719, 59.556278",
,Uganda,UG,UGA,"1.373333, 32.290275",
,Ukraine,UA,UKR,"48.379433, 31.16558",
,United States of America,US,USA,"37.09024, -95.712891",
,Uzbekistan,UZ,UZB,"41.377491, 64.585262",
,Viet Nam,VN,VNM,"14.058324, 108.277199",
