AFG,LUR,Afghanistan,,,,,,,,,,,,,,,,,
ALB,LUR,Albania,15.751,15,14.4,14.1,13.8,13.4,13.1,13.8,14,14,13.4,15.9,17.5,17.1,15.2,13.7,12.3
DZA,LUR,Algeria,25.664,23.716,17.656,15.265,12.512,13.793,11.343,10.167,9.961,9.971,10.969,9.829,10.6,11.214,10.498,11.709,11.731
AGO,LUR,Angola,,,,,,,,,,,,,,,,,
ATG,LUR,Antigua and Barbuda,,,,,,,,,,,,,,,,,
ARG,LUR,Argentina,22.45,17.25,13.625,11.575,10.175,8.475,7.875,8.675,7.75,7.15,7.2,7.075,7.25,6.533,8.467,8.35,9.2
ARM,LUR,Armenia,35.3,31.2,31.6,31.2,27.8,28.7,16.4,18.7,19,18.4,17.3,16.2,17.6,18.5,18,20.9,20.5
ABW,LUR,Aruba,8.131,11.4,9.5,8.8,9.3,5.71,6.9,10.3,10.6,8.879,9.607,7.599,7.451,7.298,7.694,8.923,7.283
AUS,LUR,Australia,6.358,5.942,5.392,5.042,4.792,4.375,4.25,5.575,5.208,5.083,5.225,5.658,6.058,6.05,5.7,5.583,5.292
AUT,LUR,Austria,4.392,4.792,5.5,5.642,5.225,4.867,4.1,5.333,4.817,4.583,4.917,5.342,5.608,5.742,6.042,5.533,4.892
AZE,LUR,Azerbaijan,10.037,9.167,7.987,7.256,6.615,6.326,5.856,5.742,5.631,5.424,5.185,4.973,4.913,4.958,5.043,4.961,4.944
BHS,LUR,The Bahamas,9.102,10.835,10.202,10.17,7.628,7.853,8.703,14.246,15.082,15.889,14.367,15.782,14.636,13.379,12.15,10.1,10.35
BHR,LUR,Bahrain,,,,,,5.6,3.7,4,3.6,4,3.7,4.392,3.767,3.358,3.7,3.58,3.94
BGD,LUR,Bangladesh,,,,,,,,,,,,,,,,,
BRB,LUR,Barbados,10.3,11,9.575,9.075,8.725,7.425,8.125,9.975,10.25,11.15,11.5,11.625,12.275,11.3,9.65,9.95,10.05
BLR,LUR,Belarus,7.471,7.931,7.347,6.57,6.295,5.962,5.844,5.808,5.738,5.588,5.536,5.436,5.417,5.821,5.92,5.684,4.825
BEL,LUR,Belgium,7.525,8.175,8.383,8.475,8.267,7.492,6.967,7.908,8.308,7.142,7.55,8.45,8.55,8.483,7.842,7.117,5.958
BLZ,LUR,Belize,10,12.9,11.6,11,9.4,10.3,8.2,12.827,18.515,16.714,15.25,12.95,11.578,10.157,9.55,9.35,9.725
BEN,LUR,Benin,,,,,,,,,,,,,,,,,
BTN,LUR,Bhutan,,1.8,2.5,3.1,3.2,3.7,3.85,4,3.3,3.1,2.1,2.9,2.6,2.5,2.1,3.138,
BOL,LUR,Bolivia,8.69,8.708,8.427,8.146,7.992,7.668,4.43,4.913,4.375,3.837,3.229,4,4,4,4,4,4
BIH,LUR,Bosnia and Herzegovina,31.1,31.1,31.1,31.1,31.1,29,23.4,24.1,27.2,27.6,28,27.5,27.5,27.7,25.4,20.5,18.4
BWA,LUR,Botswana,,,,,,,,,,,,,,,,,
BRA,LUR,Brazil,13,13.7,12.9,11.4,11.5,10.9,9.4,9.7,8.5,7.8,7.4,7.2,6.783,8.283,11.258,12.767,12.258
BRN,LUR,Brunei Darussalam,,,,,,,,,,9.3,8.5,7.7,6.9,7.7,8.5,9.3,8.7
BGR,LUR,Bulgaria,17.416,13.857,12.192,10.177,9.022,6.935,5.664,6.878,10.306,11.35,12.379,13.038,11.524,9.233,7.666,6.23,5.2
BFA,LUR,Burkina Faso,,,,,,,,,,,,,,,,,
BDI,LUR,Burundi,,,,,,,,,,,,,,,,,
CPV,LUR,Cabo Verde,20.5,20,19.5,21.4,13.5,15.2,13,13,10.7,12.2,16.8,16.4,15.8,12.4,15,12.2,12.2
KHM,LUR,Cambodia,,,,,,,,,,,,,,,,,
CMR,LUR,Cameroon,,,,,,,,,,,,,,,,,
CAN,LUR,Canada,7.667,7.583,7.15,6.767,6.325,6.075,6.2,8.375,8.075,7.55,7.375,7.133,6.967,6.942,7.05,6.383,5.908
CAF,LUR,Central African Republic,,,,,,,,,,,,,,,,,
TCD,LUR,Chad,,,,,,,,,,,,,,,,,
CHL,LUR,Chile,9.8,9.533,10.017,9.3,7.95,7.008,7.75,11.053,8.305,7.3,6.595,6.082,6.495,6.328,6.685,6.965,7.377
CHN,LUR,China,4,4.3,4.2,4.2,4.1,4,4.2,4.3,4.14,4.09,4.09,4.05,4.09,4.05,4.02,3.9,3.8
COL,LUR,Colombia,15.583,14.108,13.667,11.808,12.042,11.192,11.25,12.017,11.775,10.808,10.375,9.658,9.1,8.925,9.208,9.383,9.683
COM,LUR,Comoros,,,,,,,,,,,,,,,,,
COD,LUR,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,
COG,LUR,Republic of Congo,,,,,,,,,,,,,,,,,
CRI,LUR,Costa Rica,6.403,6.668,6.495,6.63,5.962,4.597,4.948,7.822,9.213,10.492,9.849,8.311,9.658,9.604,9.541,9.293,11.951
CIV,LUR,Côte d'Ivoire,,,,,,,,,,,,,,,,,
HRV,LUR,Croatia,21.783,19.067,17.783,17.583,16.525,14.733,13.033,14.517,17.167,17.367,18.6,19.808,19.275,17.067,14.958,12.433,9.858
CYP,LUR,Cyprus,3.517,4.108,4.625,5.3,4.55,3.925,3.65,5.325,6.275,7.85,11.8,15.85,16.075,14.9,12.95,11.05,8.35
CZE,LUR,Czech Republic,7.27,7.77,8.344,7.932,7.128,5.306,4.377,6.703,7.284,6.708,6.975,6.949,6.111,5.021,3.946,2.89,2.243
DNK,LUR,Denmark,4.642,5.433,5.517,4.8,3.9,3.775,3.717,6.392,7.733,7.75,7.8,7.375,6.867,6.283,6.008,5.817,5.1
DJI,LUR,Djibouti,,,,,,,,,,,,,,,,,
DMA,LUR,Dominica,,,,,,,,,,,,,,,,,
DOM,LUR,Dominican Republic,8.479,8.674,7.879,8.237,7.075,6.452,5.959,6.835,6.52,7.613,8.407,9.196,8.538,7.328,7.08,5.509,5.656
