ABW,SI.POV.NAHC,Aruba,,,,,,,,,,,,,,,,,
AFE,SI.POV.NAHC,Africa Eastern and Southern,,,,,,,,,,,,,,,,,
AFG,SI.POV.NAHC,Afghanistan,,,,,,33.7,,,,38.3,,,,,54.5,,
AFW,SI.POV.NAHC,Africa Western and Central,,,,,,,,,,,,,,,,,
AGO,SI.POV.NAHC,Angola,,,,,,,,,,,,,,,,,32.3
ALB,SI.POV.NAHC,Albania,25.4,,,18.5,,,12.4,,,,14.3,,,,,,
AND,SI.POV.NAHC,Andorra,,,,,,,,,,,,,,,,,
ARB,SI.POV.NAHC,Arab World,,,,,,,,,,,,,,,,,
ARE,SI.POV.NAHC,United Arab Emirates,,,,,,,,,,,,,,,,,
ARG,SI.POV.NAHC,Argentina,,,,,,,,,,,,,,,30.3,25.7,32
ARM,SI.POV.NAHC,Armenia,,,,,,,,,,,,,,,,,
ASM,SI.POV.NAHC,American Samoa,,,,,,,,,,,,,,,,,
ATG,SI.POV.NAHC,Antigua and Barbuda,,,,,,,,,,,,,,,,,
AUS,SI.POV.NAHC,Australia,,,,,,,,,,,,,,,,,
AUT,SI.POV.NAHC,Austria,13.2,13,12.6,12.6,12,15.2,14.5,14.7,14.5,14.4,14.4,14.1,13.9,14.1,14.4,14.3,13.3
AZE,SI.POV.NAHC,Azerbaijan,,,,,,15.8,13.2,10.9,9.1,7.6,6,,,,,,
BDI,SI.POV.NAHC,Burundi,,,,,67.1,,,,,,,64.9,,,,,
BEL,SI.POV.NAHC,Belgium,,,,,,,,,,,,,,,,,14.8
BEN,SI.POV.NAHC,Benin,,,,,37.5,33,,,35.2,36.2,,,,40.1,,,
BFA,SI.POV.NAHC,Burkina Faso,,,,,,,,,,,,,,,,,41.4
BGD,SI.POV.NAHC,Bangladesh,,,,40,,,,,31.5,,,,,,24.3,,
BGR,SI.POV.NAHC,Bulgaria,,,,,,,,,,,,,,,,,
BHR,SI.POV.NAHC,Bahrain,,,,,,,,,,,,,,,,,
BHS,SI.POV.NAHC,"Bahamas, The",,,,,,,,,,,,,,,,,
BIH,SI.POV.NAHC,Bosnia and Herzegovina,,,,,,18.2,,,,17.9,,,,16.9,,,
BLR,SI.POV.NAHC,Belarus,30.5,27.1,17.8,12.7,11.1,7.7,6.1,5.4,5.2,7.3,6.3,5.5,4.8,5.1,5.7,5.9,5.6
BLZ,SI.POV.NAHC,Belize,,,,,,,,,,,,,,,,,
BMU,SI.POV.NAHC,Bermuda,,,,,,,,,,,,,,,,,
BOL,SI.POV.NAHC,Bolivia,,,,,,,,,,,,,,,,,
BRA,SI.POV.NAHC,Brazil,,,,,,,,,,,,,,,,,
BRB,SI.POV.NAHC,Barbados,,,,,,,,,,,,,,,,,
BRN,SI.POV.NAHC,Brunei Darussalam,,,,,,,,,,,,,,,,,
BTN,SI.POV.NAHC,Bhutan,,,,,,23.2,,,,,12,,,,,8.2,
BWA,SI.POV.NAHC,Botswana,30.6,,,,,,,19.3,,,,,,,,,
CAF,SI.POV.NAHC,Central African Republic,,,,,,,62,,,,,,,,,,
CAN,SI.POV.NAHC,Canada,,,,,,,,,,,,,,,,,
CEB,SI.POV.NAHC,Central Europe and the Baltics,,,,,,,,,,,,,,,,,
CHE,SI.POV.NAHC,Switzerland,,,,,15,15.7,15.6,15,15,15.9,14.5,13.8,15.6,14.7,15.5,14.6,16
CHI,SI.POV.NAHC,Channel Islands,,,,,,,,,,,,,,,,,
CHL,SI.POV.NAHC,Chile,,35.4,,,29.1,,,25.3,,22.2,,14.4,,11.7,,8.6,
CHN,SI.POV.NAHC,China,,,,30.2,,,,,17.2,12.7,10.2,8.5,7.2,5.7,4.5,3.1,1.7
CIV,SI.POV.NAHC,Cote d'Ivoire,,,,,,,,,,,,,,44.4,,,39.5
CMR,SI.POV.NAHC,Cameroon,,,,,,39.9,,,,,,,37.5,,,,
COD,SI.POV.NAHC,"Congo, Dem. Rep.",,,69.3,,,,,,,,63.9,,,,,,
COG,SI.POV.NAHC,"Congo, Rep.",,,,50.7,,,,,,40.9,,,,,,,
COL,SI.POV.NAHC,Colombia,,,,,,,,,,,,,,,,,
COM,SI.POV.NAHC,Comoros,,,,,,,,,,,,42.4,,,,,
CPV,SI.POV.NAHC,Cabo Verde,,,,,,46,,,,,,,,35,,,
CRI,SI.POV.NAHC,Costa Rica,,,,,,,,,,21.7,20.6,20.7,22.4,21.7,20.5,20,21.1
CSS,SI.POV.NAHC,Caribbean small states,,,,,,,,,,,,,,,,,
CUB,SI.POV.NAHC,Cuba,,,,,,,,,,,,,,,,,
CUW,SI.POV.NAHC,Curacao,,,,,,,,,,,,,,,,,
CYM,SI.POV.NAHC,Cayman Islands,,,,,,,,,,,,,,,,,
CYP,SI.POV.NAHC,Cyprus,,,16.1,15.6,15.5,15.9,15.8,15.6,14.8,14.7,15.3,14.4,16.2,16.1,15.7,15.4,14.7
CZE,SI.POV.NAHC,Czech Republic,,,,9.8,,,,,,,,,9.7,9.7,9.1,9.6,10.1
DEU,SI.POV.NAHC,Germany,,,12.2,12.5,15.2,15.2,15.5,15.6,15.8,16.1,16.1,16.7,16.7,16.5,16.1,16,14.8
DJI,SI.POV.NAHC,Djibouti,,,,,,,,,,,,,,,,21.1,
DMA,SI.POV.NAHC,Dominica,,,,,,,,,,,,,,,,,
DNK,SI.POV.NAHC,Denmark,11.7,10.9,11.8,11.7,11.7,11.8,13.1,13.3,12.1,12,11.9,12.1,12.2,11.9,12.4,12.7,12.5
DOM,SI.POV.NAHC,Dominican Republic,,,,,,,,,,,,,,,,25.6,22.8
DZA,SI.POV.NAHC,Algeria,,,,,,,,,,5.5,,,,,,,
EAP,SI.POV.NAHC,East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,
EAR,SI.POV.NAHC,Early-demographic dividend,,,,,,,,,,,,,,,,,
