,yearOfRegistration,Datasource,gender,ageBroad,citizenship,isForcedLabour,control_category,RecruiterCategory,ExploitType,Labor_Type
9840,2012.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
9842,2012.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
9843,2012.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
9844,2012.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
9845,2012.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
9846,2012.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
9847,2012.0,Case Management,Female,30--38,LK,1.0,Survival,Other,Labor,Domestic Work
9848,2012.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
9849,2012.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
9850,2012.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
9851,2012.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
9852,2012.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
9853,2012.0,Case Management,Female,30--38,LK,1.0,Survival,Other,Labor,Domestic Work
9854,2012.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
9855,2012.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
9856,2012.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
9857,2012.0,Case Management,Female,30--38,LK,1.0,Financial,Other,Labor,Domestic Work
9858,2012.0,Case Management,Female,30--38,LK,1.0,Threats,Other,Labor,Domestic Work
9969,2012.0,Case Management,Female,39--47,LK,1.0,Threats,Other,Labor,Domestic Work
9970,2012.0,Case Management,Female,39--47,LK,1.0,Threats,Other,Labor,Domestic Work
9971,2012.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
9972,2012.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
9973,2012.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
9974,2012.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
9975,2012.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
9976,2012.0,Case Management,Female,39--47,LK,1.0,Threats,Other,Labor,Domestic Work
9977,2012.0,Case Management,Female,39--47,LK,1.0,Threats,Other,Labor,Domestic Work
9978,2012.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
9979,2012.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
9980,2012.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
9981,2012.0,Case Management,Female,39--47,LK,1.0,Financial,Other,Labor,Domestic Work
10092,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Other
10093,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Other
10101,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Other
10107,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Other,Labor,Other
10108,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Other
10124,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Other,Labor,Domestic Work
10125,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10126,2012.0,Case Management,Female,9--17,HT,1.0,Physical,Friend/Acquaintance,Labor,Domestic Work
10127,2012.0,Case Management,Female,9--17,HT,1.0,Threats,Friend/Acquaintance,Labor,Domestic Work
