yearOfRegistration,Datasource,gender,citizenship,isForcedLabour,ControlCategory,RecruiterCategory,ExploitType,Labor_Type,ageCategories
2012,1,1,27,1,2,2,2,5,7
2012,1,1,27,1,1,2,2,5,7
2012,1,1,27,1,2,2,2,5,7
2012,1,1,27,1,1,2,2,5,7
2012,1,1,27,1,1,2,2,5,7
2012,1,1,27,1,1,2,2,5,7
2012,1,1,27,1,3,2,2,5,7
2012,1,1,27,1,1,2,2,5,7
2012,1,1,27,1,2,2,2,5,7
2012,1,1,27,1,1,2,2,5,7
2012,1,1,27,1,2,2,2,5,7
2012,1,1,27,1,2,2,2,5,7
2012,1,1,27,1,3,2,2,5,7
2012,1,1,27,1,1,2,2,5,7
2012,1,1,27,1,2,2,2,5,7
2012,1,1,27,1,1,2,2,5,7
2012,1,1,27,1,1,2,2,5,7
2012,1,1,27,1,2,2,2,5,7
2012,1,1,27,1,2,2,2,5,8
2012,1,1,27,1,2,2,2,5,8
2012,1,1,27,1,1,2,2,5,8
2012,1,1,27,1,1,2,2,5,8
2012,1,1,27,1,1,2,2,5,8
2012,1,1,27,1,1,2,2,5,8
2012,1,1,27,1,1,2,2,5,8
2012,1,1,27,1,2,2,2,5,8
2012,1,1,27,1,2,2,2,5,8
2012,1,1,27,1,1,2,2,5,8
2012,1,1,27,1,1,2,2,5,8
2012,1,1,27,1,1,2,2,5,8
2012,1,1,27,1,1,2,2,5,8
2012,1,1,26,1,2,2,2,12,2
2012,1,1,26,1,2,2,2,12,2
2012,1,1,26,1,2,2,2,12,2
2012,1,1,26,1,4,2,2,12,2
2012,1,1,26,1,2,2,2,12,2
2012,1,1,26,1,2,2,2,5,2
2012,1,1,26,1,4,3,2,5,2
2012,1,1,26,1,4,3,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,4,2,2,5,2
2012,1,1,26,1,4,2,2,5,2
2012,1,1,26,1,2,2,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,4,2,5,2
2012,1,1,26,1,4,2,2,5,2
2012,1,1,26,1,4,3,2,5,2
2012,1,1,26,1,4,3,2,5,2
2012,1,1,26,1,2,4,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,2,2,5,2
2012,1,1,26,1,4,2,2,5,2
2012,1,1,26,1,4,3,2,5,2
2012,1,1,26,1,4,2,2,5,2
2012,1,1,26,1,2,2,2,5,2
2012,1,1,26,1,4,2,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,4,2,2,5,2
2012,1,1,26,1,2,2,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,2,2,5,2
2012,1,1,26,1,5,2,2,5,2
2012,1,1,26,1,5,2,2,5,2
2012,1,1,26,1,2,2,2,5,2
2012,1,1,26,1,5,4,2,5,2
2012,1,1,26,1,4,3,2,5,2
2012,1,1,26,1,2,2,2,5,2
2012,1,1,26,1,2,2,2,5,2
2012,1,1,26,1,4,3,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,4,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,5,4,2,5,2
2012,1,1,26,1,2,2,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,2,2,5,2
2012,1,1,26,1,4,3,2,5,2
2012,1,1,26,1,2,3,2,5,2
2012,1,1,26,1,2,3,2,12,2
2012,1,1,26,1,2,3,2,12,2
2012,1,1,26,1,5,3,2,12,2
2012,1,0,26,1,2,3,2,5,2
2012,1,0,26,1,2,2,2,5,2
2012,1,0,26,1,2,3,2,5,2
2012,1,0,26,1,2,3,2,5,2
2012,1,0,26,1,2,3,2,5,2
2012,1,0,26,1,2,2,2,5,2
2012,1,0,26,1,4,3,2,5,2
2012,1,0,26,1,2,3,2,5,2
2012,1,0,26,1,4,3,2,5,2
2012,1,0,26,1,2,3,2,5,2
2012,1,0,26,1,2,3,2,5,2
2012,1,0,26,1,4,2,2,5,2
