yearOfRegistration,Datasource,gender,citizenship,isForcedLabour,ControlCategory,RecruiterCategory,ExploitType,Labor_Type,ageCategories
2012,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Survival,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Survival,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 30-38
2012,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Threats,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,LK,1,Financial,Other,Forced Labor,Domestic Work,Age 39-47
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Other,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Other,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Other,Age 9-17
2012,Case Management,Female,HT,1,Physical,Other,Forced Labor,Other,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Other,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Family/Relative,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Family/Relative,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Other,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Other,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Other,Family/Relative,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Family/Relative,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Other,Family/Relative,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,12,Age 9-17
2012,Case Management,Female,HT,1,Threats,Friend/Acquaintance,Forced Labor,12,Age 9-17
2012,Case Management,Female,HT,1,Other,Friend/Acquaintance,Forced Labor,12,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Other,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Physical,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
2012,Case Management,Male,HT,1,Threats,Friend/Acquaintance,Forced Labor,Domestic Work,Age 9-17
