,yearOfRegistration,Datasource,gender,ageBroad,citizenship,isForcedLabour,control_category,RecruiterCategory,ExploitType,Labor_Type
0,2002.0,Case Management,Female,18--20,CO,0.0,Other,,Sexual,
1,2002.0,Case Management,Female,18--20,CO,0.0,Other,,Sexual,
2,2002.0,Case Management,Female,18--20,CO,0.0,Other,,Sexual,
3,2002.0,Case Management,Female,18--20,CO,0.0,Other,,Sexual,
4,2002.0,Case Management,Female,18--20,CO,0.0,Other,,Sexual,
5,2002.0,Case Management,Female,18--20,CO,0.0,Other,,Sexual,
6,2002.0,Case Management,Female,18--20,CO,0.0,Other,,Sexual,
7,2002.0,Case Management,Female,18--20,CO,0.0,Other,,Sexual,
8,2002.0,Case Management,Female,18--20,CO,0.0,Other,,Sexual,
9,2002.0,Case Management,Female,18--20,CO,0.0,Other,,Sexual,
10,2002.0,Case Management,Female,18--20,CO,0.0,Other,,Sexual,
11,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
12,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
13,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
14,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
15,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
16,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
17,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
18,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
19,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
20,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
21,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
22,2002.0,Case Management,Female,18--20,MD,0.0,Other,,,
23,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
24,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
25,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
26,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
27,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
28,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
29,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
30,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
31,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
32,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
33,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
34,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
35,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
36,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
37,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
38,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
39,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
40,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
41,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
42,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
43,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
44,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
45,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
46,2002.0,Case Management,Female,18--20,MD,0.0,Other,,Sexual,
