,Actual Outcomes,Predicted Outcomes
0,2,3
1,2,3
2,2,3
3,2,3
4,2,3
5,2,3
6,2,3
7,2,3
8,2,3
9,2,3
10,2,3
11,2,3
12,2,3
13,2,3
14,2,3
15,2,3
16,2,3
17,2,3
18,2,3
19,2,3
20,2,3
21,2,3
22,2,3
23,2,3
24,2,3
25,2,3
26,2,3
27,2,3
28,2,3
29,2,3
30,2,3
31,2,3
32,2,3
33,2,3
34,2,3
35,2,3
36,2,3
37,2,3
38,2,3
39,2,3
40,2,3
41,2,3
42,2,3
43,2,3
44,2,3
45,2,3
46,2,3
47,2,3
48,2,3
49,2,3
50,2,3
51,2,3
52,2,3
53,2,3
54,2,3
55,2,3
56,2,3
57,2,3
58,2,3
59,2,3
60,2,3
61,2,3
62,2,3
63,2,3
64,2,3
65,2,3
66,2,3
67,2,3
68,2,3
69,2,3
70,2,3
71,2,3
72,2,3
73,2,3
74,2,3
75,2,3
76,2,3
77,2,3
78,2,3
79,2,3
80,2,3
81,2,3
82,2,3
83,2,3
84,2,3
85,2,3
86,2,3
87,2,3
88,2,3
89,2,3
90,2,3
91,2,3
92,2,3
93,2,3
94,2,3
95,2,3
96,2,3
97,2,3
98,2,3
99,2,3
100,2,3
101,2,3
102,2,3
103,2,3
104,2,3
105,2,3
106,2,3
107,2,3
108,2,3
109,2,3
110,2,3
111,2,3
112,2,3
113,2,3
114,2,3
115,2,3
116,2,3
117,2,3
118,2,3
119,2,3
120,2,3
121,2,3
122,2,3
123,2,3
124,2,3
125,2,3
126,2,3
127,2,3
128,2,3
129,2,3
130,2,3
131,2,3
132,2,3
133,2,3
134,2,3
135,2,3
136,2,3
137,2,3
138,2,3
139,2,3
140,2,3
141,2,3
142,2,3
143,2,3
144,2,3
145,2,3
146,2,3
147,2,3
148,2,3
149,2,3
150,2,3
151,2,3
152,2,3
153,2,3
154,2,3
155,2,3
156,2,3
157,2,3
158,2,3
159,2,3
160,2,3
161,2,3
162,2,1
163,2,1
164,2,1
165,2,1
166,2,1
167,2,1
168,2,1
169,2,1
170,2,1
171,2,1
172,2,1
173,2,4
174,2,4
175,2,4
176,2,4
177,2,4
178,2,4
179,2,4
180,2,4
181,2,4
182,2,4
183,2,4
184,2,4
185,2,4
186,2,4
187,2,4
188,2,4
189,2,4
190,2,4
191,2,4
192,2,4
193,2,1
194,2,1
195,2,1
196,2,1
197,2,1
198,2,1
199,2,1
200,2,1
201,2,1
202,2,1
203,2,1
204,2,1
205,2,1
206,2,1
207,2,1
208,2,1
209,2,1
210,2,1
211,2,1
212,2,1
213,2,1
214,2,1
215,2,1
216,2,1
217,2,1
218,2,1
219,2,1
220,2,1
221,2,1
222,2,1
223,2,1
224,2,1
225,2,1
226,2,1
227,2,1
228,2,1
229,2,1
230,2,1
231,2,1
232,2,1
233,2,1
234,2,1
235,2,1
236,2,1
237,2,1
238,2,3
239,2,3
240,2,3
241,2,3
242,2,3
243,2,3
244,2,1
245,2,1
246,2,1
247,2,1
248,2,1
249,2,1
250,2,1
251,2,1
252,2,1
253,2,1
254,2,1
255,2,1
256,2,1
257,2,1
258,2,1
259,2,1
260,2,1
261,2,1
262,2,1
263,2,1
264,2,3
265,2,3
266,2,3
267,2,3
268,2,3
269,2,3
270,2,3
271,2,3
272,2,3
273,2,3
274,2,3
275,2,3
276,2,3
277,2,3
278,2,1
279,2,1
280,2,1
