registration_year,datasource,gender,age_range,majority_status,majority_status_at_exploit,majority_entry,citizenship,country_of_exploitation,control_financial,control_threats,control_physical,control_limit_necessities,control_other,labor,victim_purpose,trafficker_relationship
2017,Case Management,Female,0--8,Minor,Minor,-99,-99,KH,-99,-99,1,-99,1,0,-99,-99
2017,Case Management,Female,0--8,Minor,Minor,-99,-99,KH,-99,1,1,-99,1,-99,6,4
2017,Case Management,Female,18--20,Adult,Adult,-99,KH,CN,-99,1,1,-99,-99,-99,3,3
2017,Case Management,Female,18--20,Adult,-99,-99,UA,UA,-99,-99,-99,-99,1,-99,-99,4
2017,Case Management,Female,21--23,Adult,Minor,-99,VN,VN,-99,1,-99,-99,-99,3,6,-99
2017,Case Management,Female,24--26,Adult,Adult,-99,KH,CN,-99,1,1,1,-99,-99,3,0
2017,Case Management,Female,24--26,Adult,-99,-99,UA,UA,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,24--26,Adult,-99,-99,UA,UA,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,24--26,Adult,Adult,-99,VN,MY,-99,1,-99,-99,-99,-99,1,4
2017,Case Management,Female,24--26,Adult,Adult,-99,VN,MY,-99,1,-99,1,-99,-99,1,0
2017,Case Management,Female,24--26,Adult,-99,-99,VN,MY,-99,1,-99,-99,-99,-99,1,1
2017,Case Management,Female,27--29,Adult,Adult,-99,KH,CN,-99,-99,-99,-99,-99,-99,3,-99
2017,Case Management,Female,27--29,Adult,Adult,-99,KH,CN,-99,-99,-99,-99,-99,-99,3,1
2017,Case Management,Female,27--29,Adult,Adult,-99,KH,CN,-99,-99,1,-99,-99,-99,3,2
2017,Case Management,Female,27--29,Adult,Adult,-99,KH,CN,-99,-99,-99,-99,1,-99,3,3
2017,Case Management,Female,27--29,Adult,Adult,-99,KH,CN,-99,-99,1,-99,1,-99,3,-99
2017,Case Management,Female,27--29,Adult,Adult,-99,KH,CN,-99,1,1,1,-99,-99,3,-99
2017,Case Management,Female,27--29,Adult,Adult,-99,KH,CN,-99,-99,1,-99,1,-99,3,-99
2017,Case Management,Female,27--29,Adult,Adult,-99,KH,CN,-99,-99,-99,1,-99,6,3,-99
2017,Case Management,Female,27--29,Adult,Adult,-99,KH,CN,-99,1,1,1,-99,-99,3,-99
2017,Case Management,Female,27--29,Adult,Adult,-99,KH,CN,-99,1,1,-99,-99,-99,3,-99
2017,Case Management,Female,27--29,Adult,Adult,-99,KH,CN,-99,1,-99,-99,-99,-99,3,-99
2017,Case Management,Female,27--29,Adult,-99,-99,KH,MY,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,27--29,Adult,-99,-99,KH,MY,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,27--29,Adult,-99,-99,KH,MY,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,27--29,Adult,-99,-99,KH,MY,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,27--29,Adult,-99,-99,KH,MY,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,27--29,Adult,-99,-99,KH,MY,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,27--29,Adult,-99,-99,KH,MY,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,27--29,Adult,-99,-99,KH,MY,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,27--29,Adult,-99,-99,KH,MY,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,27--29,Adult,-99,-99,KH,MY,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,27--29,Adult,-99,-99,KH,MY,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,27--29,Adult,-99,-99,MD,MD,-99,-99,-99,-99,-99,-99,-99,-99
2017,Case Management,Female,30--38,Adult,Adult,-99,KE,SA,1,1,1,1,-99,5,2,-99
2017,Case Management,Female,30--38,Adult,Adult,-99,KE,SA,1,1,1,1,-99,5,2,3
2017,Case Management,Female,30--38,Adult,Adult,-99,KE,SA,-99,1,1,1,-99,5,2,3
2017,Case Management,Female,30--38,Adult,Adult,-99,KE,SA,-99,1,-99,1,-99,5,2,3
2017,Case Management,Female,30--38,Adult,Adult,-99,KE,SA,-99,1,-99,-99,-99,5,2,3
